Timestamp,CrimeCategory,LocationType,Latitude,Longitude,Hour,DayOfWeek
2026-01-15 14:30:00,PropertyTheft,Residential,3.1357,101.6880,14,2
2026-01-15 09:15:00,CommercialBurglary,Commercial,3.1450,101.7000,9,3
2026-01-15 22:45:00,AggravatedAssault,PublicTransit,3.1200,101.6750,22,4
2026-01-16 11:20:00,PropertyTheft,Residential,3.1380,101.6900,11,5
2026-01-16 16:50:00,CommercialBurglary,Commercial,3.1500,101.7050,16,6
2026-01-16 20:10:00,AggravatedAssault,PublicTransit,3.1150,101.6700,20,0
2026-01-17 13:30:00,PropertyTheft,Residential,3.1370,101.6920,13,1
2026-01-17 08:45:00,CommercialBurglary,Commercial,3.1480,101.6980,8,2
2026-01-17 23:15:00,AggravatedAssault,PublicTransit,3.1250,101.6800,23,3
2026-01-18 15:20:00,PropertyTheft,Residential,3.1340,101.6870,15,4
2026-01-18 10:00:00,CommercialBurglary,Commercial,3.1520,101.7100,10,5
2026-01-18 21:30:00,AggravatedAssault,PublicTransit,3.1180,101.6750,21,6
2026-01-19 12:45:00,PropertyTheft,Residential,3.1390,101.6910,12,0
2026-01-19 07:30:00,CommercialBurglary,Commercial,3.1460,101.6950,7,1
2026-01-19 19:00:00,AggravatedAssault,PublicTransit,3.1220,101.6820,19,2
2026-01-20 14:15:00,PropertyTheft,Residential,3.1355,101.6885,14,3
2026-01-20 11:50:00,CommercialBurglary,Commercial,3.1510,101.7080,11,4
2026-01-20 22:00:00,AggravatedAssault,PublicTransit,3.1190,101.6760,22,5
2026-01-21 13:00:00,PropertyTheft,Residential,3.1375,101.6905,13,6
2026-01-21 09:30:00,CommercialBurglary,Commercial,3.1490,101.7020,9,0
2026-01-21 20:45:00,AggravatedAssault,PublicTransit,3.1240,101.6790,20,1
2026-01-22 16:30:00,PropertyTheft,Residential,3.1360,101.6895,16,2
2026-01-22 12:15:00,CommercialBurglary,Commercial,3.1470,101.6970,12,3
2026-01-22 18:30:00,AggravatedAssault,PublicTransit,3.1210,101.6770,18,4
2026-01-23 14:45:00,PropertyTheft,Residential,3.1382,101.6918,14,5
2026-01-23 08:20:00,CommercialBurglary,Commercial,3.1530,101.7130,8,6
2026-01-23 21:15:00,AggravatedAssault,PublicTransit,3.1270,101.6810,21,0
2026-01-24 15:10:00,PropertyTheft,Residential,3.1345,101.6875,15,1
2026-01-24 10:40:00,CommercialBurglary,Commercial,3.1500,101.7060,10,2
2026-01-24 23:00:00,AggravatedAssault,PublicTransit,3.1160,101.6740,23,3
2026-01-25 13:25:00,PropertyTheft,Residential,3.1370,101.6910,13,4
2026-01-25 09:50:00,CommercialBurglary,Commercial,3.1480,101.6990,9,5
2026-01-25 20:30:00,AggravatedAssault,PublicTransit,3.1230,101.6800,20,6
2026-01-26 12:00:00,PropertyTheft,Residential,3.1365,101.6900,12,0
2026-01-26 11:15:00,CommercialBurglary,Commercial,3.1510,101.7090,11,1
2026-01-26 22:45:00,AggravatedAssault,PublicTransit,3.1200,101.6760,22,2
2026-01-27 14:30:00,PropertyTheft,Residential,3.1380,101.6920,14,3
2026-01-27 08:30:00,CommercialBurglary,Commercial,3.1490,101.7000,8,4
2026-01-27 19:15:00,AggravatedAssault,PublicTransit,3.1250,101.6810,19,5
2026-01-28 15:45:00,PropertyTheft,Residential,3.1350,101.6880,15,6
2026-01-28 10:20:00,CommercialBurglary,Commercial,3.1520,101.7110,10,0
2026-01-28 21:00:00,AggravatedAssault,PublicTransit,3.1180,101.6750,21,1
2026-01-29 13:50:00,PropertyTheft,Residential,3.1375,101.6910,13,2
2026-01-29 07:45:00,CommercialBurglary,Commercial,3.1470,101.6960,7,3
2026-01-29 20:15:00,AggravatedAssault,PublicTransit,3.1220,101.6790,20,4
2026-01-30 14:10:00,PropertyTheft,Residential,3.1360,101.6895,14,5
2026-01-30 11:35:00,CommercialBurglary,Commercial,3.1505,101.7070,11,6
2026-01-30 22:30:00,AggravatedAssault,PublicTransit,3.1195,101.6765,22,0
2026-01-31 12:30:00,PropertyTheft,Residential,3.1370,101.6905,12,1
2026-01-31 09:15:00,CommercialBurglary,Commercial,3.1485,101.6985,9,2
